127.0.0.1 - - [02/Apr/2018:16:28:22 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:45 +0800] "GET /o2o/shopadmin/shoplist HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:45 +0800] "GET /o2o/resources/js/local/logout.js HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:45 +0800] "GET /o2o/resources/css/shop/shoplist.css HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:45 +0800] "GET /o2o/resources/js/shop/shoplist.js HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:48 +0800] "GET /o2o/shopadmin/getshoplist HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:52 +0800] "GET /o2o/shopadmin/shopmanagement?shopId=28 HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:52 +0800] "GET /o2o/resources/js/common/common.js HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:52 +0800] "GET /o2o/resources/js/shop/shopmanagement.js HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:52 +0800] "GET /o2o/resources/css/shop/shopmanagement.css HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:52 +0800] "GET /o2o/shopadmin/getshopmanagementinfo?shopId=28 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:53 +0800] "GET /o2o/shopadmin/shopoperation?shopId=28 HTTP/1.1" 200 5195
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:53 +0800] "GET /o2o/resources/js/shop/shopoperation.js HTTP/1.1" 200 5099
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:54 +0800] "GET /o2o/Kaptcha HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:56 +0800] "GET /o2o/shopadmin/getshopbyid?shopId=28 HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:28:56 +0800] "GET /o2o/shopadmin/getshopbyid?shopId=28 HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:49 +0800] "GET /o2o/frontend/index HTTP/1.1" 200 4561
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:50 +0800] "GET /o2o/resources/css/frontend/index.css HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:50 +0800] "GET /o2o/resources/js/frontend/index.js HTTP/1.1" 200 2247
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:51 +0800] "GET /o2o/frontend/listmainpageinfo HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:51 +0800] "GET /upload/images/item/headtitle/2017061320400198256.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:51 +0800] "GET /upload/images/item/headtitle/2017061320371786788.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:51 +0800] "GET /upload/images/item/headtitle/2017061320393452772.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:51 +0800] "GET /upload/images/item/shopcategory/2017061223272255687.png HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:51 +0800] "GET /upload/images/item/shopcategory/2017061223273314635.png HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:51 +0800] "GET /upload/images/item/shopcategory/2017061223274213433.png HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:51 +0800] "GET /upload/images/item/headtitle/2017061320315746624.jpg HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:51 +0800] "GET /upload/images/item/shopcategory/2017061223280082147.png HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:51 +0800] "GET /upload/images/item/shopcategory/2017061223275121460.png HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Apr/2018:16:29:51 +0800] "GET /upload/images/item/shopcategory/2017061223281361578.png HTTP/1.1" 404 1104
